"Mutations to mutants (GC1)" "Mutants (GC1)" "Mutations to Mutators (GC1)" "Mutators (GC1)" "Mutations to mutant mutators (GC1)" "Mutator_mutants (GC1)" "Mutations to mutants (GC2)" "Mutants (GC2)" "Mutations to Mutators (GC2)" "Mutators (GC2)" "Mutations to mutant mutators (GC2)" "Mutator_mutants (GC2)" "Mutations to mutants (GC3)" "Mutants (GC3)" "Mutations to Mutators (GC3)" "Mutators (GC3)" "Mutations to mutant mutators (GC3)" "Mutator_mutants (GC3)"
860 6466 85925 1042029 482 2702 835 4559 85860 1768923 332 1579 860 16304 85593 2483914 416 9170
881 5877 86408 960704 462 2590 851 29377 85640 1846417 349 1069 825 40995 86317 3074622 366 1108
872 5762 86226 1495948 705 4399 911 25455 85465 2491382 394 17025 851 15618 86039 3431428 326 1261
828 17770 85504 924449 423 1609 834 59282 86330 1592154 409 1352 869 63664 86113 2461911 372 1487
868 4291 85925 1003544 477 1849 867 8304 85470 2096474 363 1489 850 6997 86049 2677393 354 1407
863 6565 85797 1485792 727 4847 873 24365 86351 2014249 351 13065 835 71494 86562 2786522 338 5102
887 5135 86475 1698336 824 4585 816 17140 85801 2337166 327 12626 899 13167 85815 3075288 379 3748
900 15270 86104 855477 435 1679 842 5435 85912 1873810 389 1754 869 8912 86010 2355192 340 1053
861 5594 85982 938062 438 2038 830 5032 85443 1698576 330 1302 939 10651 85500 2521459 376 1427
778 6285 86174 1443591 689 5779 880 10044 86161 2390148 367 6264 898 14703 85579 3244678 399 1671
869 4545 86333 1323148 636 8997 897 4813 86141 1996169 349 35049 859 6806 86262 2368249 329 1867
835 7650 85390 975904 474 4588 872 6839 86023 1726244 379 4055 806 10809 85429 2439064 390 2275
891 30943 85706 1058145 524 3066 821 42003 85572 1652458 383 1527 887 75272 86263 2689122 356 1428
833 13389 85679 1069985 510 2366 811 13848 85590 1858349 349 1403 876 42975 85375 2605576 372 1325
926 7908 85985 1032782 484 3101 856 63281 85920 1962772 362 3885 865 54433 85907 3022430 365 1925
880 5444 85910 1001048 492 2126 822 10181 85460 1825817 406 4039 822 13206 85620 2360485 317 1457
863 16553 86026 6711353 3436 24262 874 21686 86155 7377998 363 42795 857 59004 86214 7998467 309 17364
866 4822 85903 2209385 1040 6990 846 11482 85929 3399916 359 18438 878 14279 85685 4010941 357 3683
868 21133 86281 1055386 486 2011 876 29730 86016 1939800 413 3527 860 46845 85786 2520900 352 6051
891 5133 85539 1020811 486 9665 796 6415 86473 1817417 312 7283 868 8856 85921 2728315 359 6576
816 15326 86052 1216274 570 2780 829 28344 86180 2060928 360 5279 864 48842 86126 2554751 354 25751
823 3707 86147 14535654 7334 106518 895 8608 85758 14641369 361 158006 896 6987 86277 15991107 367 132997
847 21211 86018 2067449 985 5130 839 56011 85805 3093065 367 18182 898 70361 85954 3588170 312 16742
837 4829 85479 1159453 617 3015 876 25878 86384 1962279 344 4218 841 19834 85851 2617206 409 1439
846 6457 85385 969334 476 2269 814 6879 86126 1530635 338 1439 838 27481 86154 2420962 352 1407
894 12785 86477 925634 443 2002 850 19086 85684 1847440 383 23429 892 7158 85867 2748527 327 54535
866 8214 85627 921114 456 2897 870 7011 85966 1648531 337 1249 872 39799 86002 2704594 362 32238
916 6193 86055 967070 466 2640 880 21364 86453 1746599 387 18090 911 29885 86480 2595246 367 51241
841 5385 85595 963660 435 2135 845 5275 85982 1601488 372 1666 858 16454 86060 2436317 346 1278
840 7052 86070 827622 400 2924 807 4439 86023 1669256 387 1866 815 32795 85305 2606712 341 3845
879 7576 86309 987413 477 2084 851 49802 85814 1802068 375 1325 860 48100 86470 2865660 369 1572
864 9333 85565 1160821 547 4613 878 5045 85888 1925188 375 2434 896 11540 85945 2543840 397 1593
871 4995 85627 935688 456 4403 852 8691 86428 1808733 384 17218 858 37144 85633 3257560 388 13338
840 5790 86320 1650602 792 6113 880 24841 85544 2500313 358 1377 886 39923 86198 3287647 360 1632
835 6497 85731 1007307 494 3900 808 6328 85851 1814782 366 1967 872 24839 86234 2608421 381 1905
840 5280 85551 952631 438 2306 858 4891 85333 1584075 341 1497 836 12048 86081 2413132 407 2775
869 6894 85512 902559 422 1689 866 6627 85479 1659316 369 1768 857 15157 85959 2344815 347 1169
